airport_iata,airport_name,city_iata,utc_offset,timezone_id
DGD,Dalgaranga Gold Mine,DGD,+08:00,Australia/Perth
DGE,Mudgee,DGE,+10:00,Australia/Sydney
DGF,Douglas Lake,DGF,-08:00,America/Vancouver
DGG,Daugo,DGG,+10:00,Pacific/Port_Moresby
DGH,Deoghar International,DGH,+05:30,Asia/Kolkata
DGK,Dugong Beach Lodge,DGK,+02:00,Africa/Maputo
DGL,Douglas/Bisbee Douglas Municipal,DUG,-07:00,America/Phoenix
DGM,Dandugama,CMB,+05:30,Asia/Colombo
DGN,Dahlgren Nswc,DGN,-05:00,America/New_York
DGO,Durango,DGO,-06:00,America/Mexico_City
DGP,Daugavpils International,DGP,+02:00,Europe/Riga
DGR,Dargaville,DGR,+12:00,Pacific/Auckland
DGT,Dumaguete,DGT,+08:00,Asia/Manila
DGU,Dedougou,DGU,+00:00,Africa/Ouagadougou
DGW,Douglas Converse County,DGW,-07:00,America/Denver
DHA,Dhahran King Abdulaziz,DHA,+03:00,Asia/Riyadh
DHB,Deer Harbor Sea Plane Base,DHB,-08:00,America/Los_Angeles
DHC,Bremen Hbf,BRE,+01:00,Europe/Berlin
DHD,Durham Downs,DHD,+10:00,Australia/Brisbane
DHF,Abu Dhabi Al Dhafra Ab Apt,AUH,+04:00,Asia/Dubai
DHG,Dalnegorsk,DHG,+10:00,Asia/Vladivostok
DHI,Dhangarhi,DHI,+05:45,Asia/Kathmandu
DHL,Dhala,DHL,+03:00,Asia/Aden
DHM,Dharamsala Kangra,DHM,+05:30,Asia/Kolkata
DHN,Dothan,DHN,-06:00,America/Chicago
DHO,Horn River Heliport,DHO,-08:00,America/Vancouver
DHR,Den Helder De Kooy,DHR,+01:00,Europe/Amsterdam
DHS,Santander Bus Station,SDR,+01:00,Europe/Madrid
DHT,Dalhart Municipal,DHT,-06:00,America/Chicago
DHU,Zhuzhou Rail Station,DHU,+08:00,Asia/Shanghai
DIA,Doha International,DOH,+03:00,Asia/Qatar
DIB,Dibrugarh,DIB,+05:30,Asia/Kolkata
DIC,Dili,DIC,+02:00,Africa/Lubumbashi
DIE,Antsiranana Arrachart,DIE,+03:00,Indian/Antananarivo
DIG,Deqen Shangri-La,DIG,+08:00,Asia/Shanghai
DIJ,Dijon Longvic,DIJ,+01:00,Europe/Paris
DIK,Dickinson,DIK,-07:00,America/Denver
DIL,Dili Comoro,DIL,+09:00,Asia/Dili
DIM,Dimbokro Ville,DIM,+00:00,Africa/Abidjan
DIN,Dien Bien Phu,DIN,+07:00,Asia/Ho_Chi_Minh
DIO,Diomede Heliport,DIO,-09:00,America/Anchorage
DIP,Diapaga,DIP,+00:00,Africa/Ouagadougou
DIQ,Divinopolis Brigadeiro Cabral,DIQ,-03:00,America/Araguaina
DIR,Dire Dawa,DIR,+03:00,Africa/Addis_Ababa
DIS,Dolisie,DIS,+01:00,Africa/Brazzaville
DIU,Diu,DIU,+05:30,Asia/Kolkata
DIV,Divo,DIV,+00:00,Africa/Abidjan
DIW,Dicwella Spb Mawella Lagoon Spb,DIW,+05:30,Asia/Colombo
DIY,Diyarbakir,DIY,+03:00,Europe/Istanbul
DJA,Djougou,DJA,+01:00,Africa/Porto-Novo
DJB,Jambi Sultan Thaha,DJB,+07:00,Asia/Pontianak
DJE,Djerba,DJE,+01:00,Africa/Tunis
DJG,Djanet Tiska,DJG,+01:00,Africa/Algiers
DJH,Dubai Jebel Ali Spb,DXB,+04:00,Asia/Dubai
DJJ,Jayapura Sentani,DJJ,+09:00,Asia/Jayapura
DJK,Amsterdam Sloterdijk Bus Station,AMS,+01:00,Europe/Amsterdam
DJM,Djambala,DJM,+01:00,Africa/Brazzaville
DJN,Delta Junction Airport,DJN,-09:00,America/Anchorage
DJO,Daloa,DJO,+00:00,Africa/Abidjan
DJU,Djupivogur,DJU,+00:00,Atlantic/Reykjavik
DKA,Katsina,DKA,+01:00,Africa/Lagos
DKI,Dunk Island,DKI,+10:00,Australia/Brisbane
DKK,Dunkirk Chautauqua County,DKK,-05:00,America/New_York
DKL,Kiwigana Lodge Heliport,DKL,-08:00,America/Vancouver
DKR,Dakar,DKR,+00:00,Africa/Dakar
DKS,Dikson,DKS,+07:00,Asia/Tomsk
DKV,Docker River,DKV,+09:30,Australia/Darwin
DLA,Douala,DLA,+01:00,Africa/Douala
DLB,D'albertis,DLB,+10:00,Pacific/Port_Moresby
DLC,Dalian,DLC,+08:00,Asia/Shanghai
DLD,Geilo Dagali,DLD,+01:00,Europe/Oslo
DLE,Dole Tavaux,DLE,+01:00,Europe/Paris
DLF,Del Rio Laughlin Afb,DRT,-06:00,America/Chicago
DLG,Dillingham,DLG,-09:00,America/Anchorage
DLH,Duluth,DLH,-06:00,America/Chicago
DLI,Dalat Lienkhang,DLI,+07:00,Asia/Ho_Chi_Minh
DLK,Dulkaninna,DLK,+09:30,Australia/Adelaide
DLL,Dillon County,DLL,-05:00,America/New_York
DLM,Dalaman,DLM,+03:00,Europe/Istanbul
DLN,Dillon,DLN,-07:00,America/Denver
DLO,Dolomi,DLO,-09:00,America/Anchorage
DLP,Disneyland Paris Heliport,DLP,+01:00,Europe/Paris
DLR,Dalnerechensk,DLR,+10:00,Asia/Vladivostok
DLS,The Dalles Columbia Gorge Rgnl,DLS,-08:00,America/Los_Angeles
DLU,Dali,DLU,+08:00,Asia/Shanghai
DLV,Delissaville,DLV,+09:30,Australia/Darwin
DLY,Dillons Bay,DLY,+11:00,Pacific/Efate
DLZ,Dalanzadgad Gurvan Saikhan,DLZ,+08:00,Asia/Ulaanbaatar
DMA,Tucson Davis-Monthan Afb,TUS,-07:00,America/Phoenix
DMB,Zhambyl,DMB,+06:00,Asia/Almaty
DMD,Doomadgee Mission,DMD,+10:00,Australia/Brisbane
DME,Moscow Domodedowo,MOW,+03:00,Europe/Moscow
DMK,Bangkok Don Mueang International Arpt,BKK,+07:00,Asia/Bangkok
DMM,Dammam,DMM,+03:00,Asia/Riyadh
DMN,Deming Municipal,DMN,-07:00,America/Denver
DMO,Sedalia Regional,DMO,-06:00,America/Chicago
DMR,Dhamar,DMR,+03:00,Asia/Aden
DMS,Dammam,DMM,+03:00,Asia/Riyadh
DMT,Diamantino,DMT,-04:00,America/Porto_Velho
DMU,Dimapur,DMU,+05:30,Asia/Kolkata
DNA,Okinawa Kadena Ab,OKA,+09:00,Asia/Tokyo
DNB,Dunbar,DNB,+10:00,Australia/Brisbane
DNC,Danane,DNC,+00:00,Africa/Abidjan
DND,Dundee,DND,+00:00,Europe/London
DNE,Dallas/Fort Worth North Apt,DFW,-06:00,America/Chicago
DNF,Derna Martuba,DNF,+02:00,Africa/Tripoli
DNG,Doongan,DNG,+08:00,Australia/Perth
DNH,Dunhuang,DNH,+08:00,Asia/Shanghai
DNI,Wad Madani,DNI,+02:00,Africa/Khartoum
DNK,Dnepropetrovsk,DNK,+02:00,Europe/Zaporozhye
DNL,Augusta Daniel Field,AGS,-05:00,America/New_York
DNM,Denham,DNM,+08:00,Australia/Perth
DNN,Dalton Municipal Airport,DNN,-05:00,America/New_York
DNO,Dianopolis,DNO,-03:00,America/Araguaina
DNP,Dang,DNP,+05:45,Asia/Kathmandu
DNQ,Deniliquin,DNQ,+10:00,Australia/Sydney
DNR,Dinard/St-Malo Pleurtuit,DNR,+01:00,Europe/Paris
DNS,Denison Municipal,DNS,-06:00,America/Chicago
DNT,Santa Ana Downtown H/P,SNA,-08:00,America/Los_Angeles
DNU,Dinangat,DNU,+10:00,Pacific/Port_Moresby
DNV,Danville Vermilion Regional,DNV,-06:00,America/Chicago
DNX,Dinder Galegu,DNX,+02:00,Africa/Khartoum
DNZ,Denizli,DNZ,+03:00,Europe/Istanbul
DOA,Doany,DOA,+03:00,Indian/Antananarivo
DOB,Dobo Rar Gwamar,DOB,+09:00,Asia/Jayapura
DOC,Dornoch,DOC,+00:00,Europe/London
DOD,Dodoma,DOD,+03:00,Africa/Dar_es_Salaam
DOE,Djoemoe,DOE,-03:00,America/Paramaribo
DOF,Dora Bay,DOF,-09:00,America/Anchorage
DOG,Dongola,DOG,+02:00,Africa/Khartoum
DOH,Doha,DOH,+03:00,Asia/Qatar
DOI,Doini,DOI,+10:00,Pacific/Port_Moresby
DOK,Donetsk,DOK,+02:00,Europe/Zaporozhye
DOL,Deauville St. Gatien,DOL,+01:00,Europe/Paris
DOM,Dominica Melville Hall Apt,DOM,-04:00,America/Dominica
DON,Dos Lagunas,DON,-06:00,America/Guatemala
DOO,Dorobisoro,DOO,+10:00,Pacific/Port_Moresby
DOP,Dolpa,DOP,+05:45,Asia/Kathmandu
DOR,Dori,DOR,+00:00,Africa/Ouagadougou
DOS,Dios,DOS,+11:00,Pacific/Bougainville
DOU,Dourados F. De Matos Pereira,DOU,-04:00,America/Porto_Velho
DOV,Dover Afb,DOV,-05:00,America/New_York
DOX,Dongara,DOX,+08:00,Australia/Perth
DOY,Dongying Shengli,DOY,+08:00,Asia/Shanghai
DPA,Chicago Dupage,CHI,-06:00,America/Chicago
DPB,Cameron Pampa Guanaco,DPB,-03:00,America/Santiago
DPE,Dieppe St Aubin,DPE,+01:00,Europe/Paris
DPG,Dugway Michael Aaf,DPG,-07:00,America/Denver
DPK,Deer Park,DPK,-05:00,America/New_York
DPL,Dipolog,DPL,+08:00,Asia/Manila
DPO,Devonport,DPO,+10:00,Australia/Hobart
DPS,Denpasar (Bali),DPS,+08:00,Asia/Makassar
DPT,Deputatsky,DPT,+10:00,Asia/Vladivostok
DPU,Dumpu,DPU,+10:00,Pacific/Port_Moresby
DQA,Daqing Sartu,DQA,+08:00,Asia/Shanghai
DQM,Duqm International,JNJ,+04:00,Asia/Muscat
DRA,Mercury Desert Rock,DRA,-08:00,America/Los_Angeles
DRB,Derby Airport,DRB,+08:00,Australia/Perth
DRC,Dirico,DRC,+01:00,Africa/Luanda
DRD,Dorunda,DRD,+10:00,Australia/Brisbane
DRE,Drummond Island,DRE,-05:00,America/New_York
DRF,Drift River,DRF,-09:00,America/Anchorage
DRG,Deering Municipal,DRG,-09:00,America/Anchorage
DRH,Dabra,DRH,+09:00,Asia/Jayapura
DRI,Deridder Beauregard Regional,DRI,-06:00,America/Chicago
DRJ,Drietabbetje,DRJ,-03:00,America/Paramaribo
DRK,Drake Bay,DRK,-06:00,America/Costa_Rica
DRM,Drama,DRM,+02:00,Europe/Athens
DRN,Dirranbandi,DRN,+10:00,Australia/Brisbane
DRO,Durango La Plata,DRO,-07:00,America/Denver
DRP,Legazpi Bicol International,DRP,+08:00,Asia/Manila
DRR,Durrie,DRR,+10:00,Australia/Brisbane
DRS,Dresden,DRS,+01:00,Europe/Berlin
DRT,Del Rio,DRT,-06:00,America/Chicago
DRU,Drummond,DRU,-07:00,America/Denver
DRV,Dharavandhoo Island,DRV,+05:00,Indian/Maldives
DRW,Darwin,DRW,+09:30,Australia/Darwin
DRX,Dresden Bus Station,DRX,+01:00,Europe/Berlin
DRY,Drysdale River,DRY,+08:00,Australia/Perth
DSA,Doncaster/Sheffield Robin Hood,DSA,+00:00,Europe/London
DSC,Dschang,DSC,+01:00,Africa/Douala
DSD,La Desirade Grande Anse,DSD,-04:00,America/Guadeloupe
DSE,Dessie,DSE,+03:00,Africa/Addis_Ababa
DSG,Dilasag,DSG,+08:00,Asia/Manila
DSI,Destin/Ft Walton Beach Destin Exec Apt,VPS,-06:00,America/Chicago
DSK,Dera Ismail Khan,DSK,+05:00,Asia/Karachi
DSL,Daru,DSL,+00:00,Africa/Freetown
DSM,Des Moines,DSM,-06:00,America/Chicago
DSN,Dongsheng,DSN,+08:00,Asia/Shanghai
DSO,Sondok,DSO,+09:00,Asia/Pyongyang
DSS,Dakar,DKR,+00:00,Africa/Dakar
DST,Dubai Seaplane Terminal,DXB,+04:00,Asia/Dubai
DSV,Dansville Municipal,DSV,-05:00,America/New_York
DSX,Dongsha Island,DSX,+08:00,Asia/Taipei
DSY,Krong Khemara Phoumin Dara Sakor Intern,DSY,+07:00,Asia/Phnom_Penh
DTA,Delta Municipal,DTA,-07:00,America/Denver
DTB,Siborong-Borong Silangit,DTB,+07:00,Asia/Pontianak
DTD,Datadawai,DTD,+08:00,Asia/Makassar
DTE,Daet Bagabas,DTE,+08:00,Asia/Manila
DTH,Death Valley Nat. Park Furnance Creek,DTH,-08:00,America/Los_Angeles
DTI,Diamantina,DTI,-03:00,America/Araguaina
DTL,Detroit Lakes Wething Field,DTL,-06:00,America/Chicago
DTM,Dortmund,DTM,+01:00,Europe/Berlin
DTN,Shreveport Downtown Apt,SHV,-06:00,America/Chicago
DTR,Decatur Island Decatur Shores,DTR,-08:00,America/Los_Angeles
DTU,Wudalianchi Dedu,DTU,+08:00,Asia/Shanghai
DTW,Detroit,DTT,-05:00,America/New_York
DTZ,Dortmund Central Station,DTM,+01:00,Europe/Berlin
DUA,Durant Regional - Eaker Field,DUA,-06:00,America/Chicago
DUB,Dublin,DUB,+00:00,Europe/Dublin
DUC,Duncan Halliburton Field,DUC,-06:00,America/Chicago
DUD,Dunedin,DUD,+12:00,Pacific/Auckland
DUE,Dundo,DUE,+01:00,Africa/Luanda
DUF,Corolla Pine Island,DUF,-05:00,America/New_York
DUG,Douglas/Bisbee Bisbee-Douglas Intl,DUG,-07:00,America/Phoenix
DUH,Durres Rail Station,DUH,+01:00,Europe/Tirane
DUI,Duisburg Hbf Rail Station,DUI,+01:00,Europe/Berlin
DUJ,Dubois Regional,DUJ,-05:00,America/New_York
DUK,Mtubatuba Dukuduku,DUK,+02:00,Africa/Johannesburg
DUM,Dumai Pinang Kampai,DUM,+07:00,Asia/Pontianak
DUN,Dundas,DUN,-04:00,America/Thule
DUQ,Duncan,DUQ,-08:00,America/Vancouver
DUR,Durban,DUR,+02:00,Africa/Johannesburg
DUS,Dusseldorf,DUS,+01:00,Europe/Berlin
DUT,Dutch Harbor,DUT,-09:00,America/Anchorage
DVA,Deva,DVA,+02:00,Europe/Bucharest
DVD,Andavadoaka,DVD,+03:00,Indian/Antananarivo
DVK,Diavik,DVK,-07:00,America/Whitehorse
DVL,Devils Lake,DVL,-06:00,America/Chicago
DVN,Davenport Municipal,DVN,-06:00,America/Chicago
DVO,Davao,DVO,+08:00,Asia/Manila
DVP,Davenport Downs,DVP,+10:00,Australia/Brisbane
DVR,Daly River Mission,DVR,+09:30,Australia/Darwin
DVT,Phoenix Deer Valley Apt,PHX,-07:00,America/Phoenix
DWA,Dwangwa,DWA,+02:00,Africa/Blantyre
DWB,Soalala,DWB,+03:00,Indian/Antananarivo
DWC,Dubai - World Central,DXB,+04:00,Asia/Dubai
DWD,Dawadmi Aldawadmi,DWD,+03:00,Asia/Riyadh
DWF,Dayton Wright Afb,DAY,-05:00,America/New_York
DWH,Houston David Wayne Hooks Mem.,HOU,-06:00,America/Chicago
DWN,Oklahoma City Downtown Airpark,OKC,-06:00,America/Chicago
DWO,Kotte Diyawanna,DWO,+05:30,Asia/Colombo
DWR,Dwyer Air Base,DWR,+04:30,Asia/Kabul
DWS,Hulunbuir Morin Dawa Banner,XRQ,+08:00,Asia/Shanghai
DXA,Les Deux Alpes Off-Line Point,DXA,+01:00,Europe/Paris
DXB,Dubai,DXB,+04:00,Asia/Dubai
DXD,Dixie,DXD,+10:00,Australia/Brisbane
DXE,Madison Bruce Campbell Field,DXE,-06:00,America/Chicago
DXR,Danbury Municipal,DXR,-05:00,America/New_York
DYA,Dysart,DYA,+10:00,Australia/Brisbane
DYG,Dayong,DYG,+08:00,Asia/Shanghai
DYL,Doylestown,DYL,-05:00,America/New_York
DYM,Diamantina Lakes,DYM,+10:00,Australia/Brisbane
DYN,Danyang Rail Station,DYN,+08:00,Asia/Shanghai
DYR,Anadyr Ugolny,DYR,+12:00,Asia/Kamchatka
DYS,Abilene Dyess Afb,ABI,-06:00,America/Chicago
DYU,Dushanbe International,DYU,+05:00,Asia/Dushanbe
DYW,Daly Waters,DYW,+09:30,Australia/Darwin
DZA,Dzaoudzi Pamandzi Intl,DZA,+03:00,Indian/Mayotte
DZH,Dazhou Jinya,DAX,+08:00,Asia/Shanghai
DZI,Agustin Codazzi Las Flores,DZI,-05:00,America/Bogota
DZN,Zhezkazgan,DZN,+06:00,Asia/Almaty
DZO,Durazno Santa Bernardina,DZO,-03:00,America/Montevideo
DZU,Dazu,DZU,+08:00,Asia/Shanghai
EAA,Eagle,EAA,-09:00,America/Anchorage
EAB,Abbs,EAB,+03:00,Asia/Aden
EAE,Emae,EAE,+11:00,Pacific/Efate
EAG,Agde,EAG,+01:00,Europe/Paris
EAL,Elenak,EAL,+12:00,Pacific/Majuro
EAM,Nejran,EAM,+03:00,Asia/Riyadh
EAN,Wheatland Phifer Airfield,EAN,-07:00,America/Denver
EAR,Kearney,EAR,-06:00,America/Chicago
EAS,San Sebastian,EAS,+01:00,Europe/Madrid
EAT,Wenatchee,EAT,-08:00,America/Los_Angeles
EAU,Eau Claire,EAU,-06:00,America/Chicago
EBA,Elba Island Marina Di Campo,EBA,+01:00,Europe/Rome
EBB,Entebbe,EBB,+03:00,Africa/Kampala
EBD,El Obeid,EBD,+02:00,Africa/Khartoum
EBG,El Bagre,EBG,-05:00,America/Bogota
EBH,El Bayadh,EBH,+01:00,Africa/Algiers
EBJ,Esbjerg Airport,EBJ,+01:00,Europe/Copenhagen
EBL,Erbil,EBL,+03:00,Asia/Baghdad
EBM,El-Borma,EBM,+01:00,Africa/Tunis
EBN,Ebadon Island,EBN,+12:00,Pacific/Majuro
EBO,Ebon Island,EBO,+12:00,Pacific/Majuro
EBR,Baton Rouge Downtown Apt,BTR,-06:00,America/Chicago
EBS,Webster City Municipal,EBS,-06:00,America/Chicago
EBU,St-Etienne Boutheon,EBU,+01:00,Europe/Paris
EBV,Saint-Etienne Bus St,EBV,+01:00,Europe/Paris
EBW,Ebolowa,EBW,+01:00,Africa/Douala
ECA,East Tawas Iosco County,ECA,-05:00,America/New_York
ECG,Elizabeth City Regional,ECG,-05:00,America/New_York
ECH,Echuca,ECH,+10:00,Australia/Sydney
ECI,Rivas Costa Esmeralda,ECI,-06:00,America/Managua
ECN,Ercan,ECN,+02:00,Asia/Nicosia
ECO,El Encanto,ECO,-05:00,America/Bogota
ECP,Panama City (US),ECP,-06:00,America/Chicago
ECR,El Charco,ECR,-05:00,America/Bogota
ECS,Newcastle Mondell Field,ECS,-07:00,America/Denver
EDA,Edna Bay Sea Plane Base,EDA,-09:00,America/Anchorage
EDB,El Debba,EDB,+02:00,Africa/Khartoum
EDD,Erldunda,EDD,+09:30,Australia/Darwin
EDE,Edenton Noertheastern Regional,EDE,-05:00,America/New_York
EDF,Anchorage Elmendorf Afb,ANC,-09:00,America/Anchorage
EDG,Edgewood Weide Ahp,EDG,-05:00,America/New_York
EDI,Edinburgh,EDI,+00:00,Europe/London
EDK,El Dorado Capt. Jack Thomas Mem.,EDK,-06:00,America/Chicago
EDL,Eldoret International,EDL,+03:00,Africa/Nairobi
EDM,La Roche Sur Yon Les Ajoncs,EDM,+01:00,Europe/Paris
EDN,Yedinka,EDN,+10:00,Asia/Vladivostok
EDO,Edremit Korfez,EDO,+03:00,Europe/Istanbul
EDQ,Erandique,EDQ,-06:00,America/Tegucigalpa
EDR,Pormpuraaw,EDR,+10:00,Australia/Brisbane
EDW,Edwards Air Force Base,EDW,-08:00,America/Los_Angeles
EEA,Correia Reg Do Planalto Serano,EEA,-03:00,America/Araguaina
EED,Needles,EED,-08:00,America/Los_Angeles
EEK,Eek,EEK,-09:00,America/Anchorage
EEL,Tudela Rail Station,EEL,+01:00,Europe/Madrid
EEM,Albacete Rail Station,ABC,+01:00,Europe/Madrid
EEN,Keene Dillant Hopkins Municipal,EEN,-05:00,America/New_York
EEP,Pamplona Rail Station,PNA,+01:00,Europe/Madrid
EER,Reus Rail Station,REU,+01:00,Europe/Madrid
EES,Berenice International,EES,+02:00,Africa/Cairo
EEU,Leon Rail Station,LEN,+01:00,Europe/Madrid
EFB,Eight Fathom Bight,EFB,-09:00,America/Anchorage
EFD,Houston Ellington,HOU,-06:00,America/Chicago
EFG,Efogi,EFG,+10:00,Pacific/Port_Moresby
EFK,Newport State,EFK,-05:00,America/New_York
EFL,Kefallinia,EFL,+02:00,Europe/Athens
EFO,East Forks,EFO,-09:00,America/Anchorage
EFW,Jefferson Municipal,EFW,-06:00,America/Chicago
EGA,Engati,EGA,+10:00,Pacific/Port_Moresby
EGC,Bergerac Roumaniere,EGC,+01:00,Europe/Paris
EGE,Vail/Eagle,EGE,-07:00,America/Denver
EGI,Crestview Duke Field,VPS,-06:00,America/Chicago
EGL,Negele,EGL,+03:00,Africa/Addis_Ababa
