origin,destination
FRA,NCE
HAM,ZRH
ZRH,LHR
REP,BKK
FRA,LJU
WAW,ZRH
NUE,FRA
GVA,ZRH
MUC,BIO
HEL,MUC
VIE,TLV
ZRH,ATH
WRO,FRA
MAN,MUC
VIE,HAM
CDG,FRA
