departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Frankfurt,FRA,09:10,09:13,1/B05,Luxembourg,LUX,09:50,09:52,,CL,Lufthansa Cityline,CL392,Flight Landed
Frankfurt,FRA,09:10,09:43,1/B12,Basel,BSL,10:00,10:24,,CL,Lufthansa Cityline,CL1202,Flight Landed
Frankfurt,FRA,09:15,09:15,1/B03,Dusseldorf,DUS,10:05,10:02,,LH,Lufthansa,LH074,Flight Landed
Frankfurt,FRA,09:15,09:11,1/A11,Munich,MUC,10:10,10:01,2/G30,LH,Lufthansa,LH098,Flight Landed
Frankfurt,FRA,09:15,09:31,1/A23,Nuremberg,NUE,10:00,10:04,,CL,Lufthansa Cityline,CL142,Flight Landed
Berlin/Brandenburg,BER,08:05,08:04,1/A33,Cologne/Bonn,CGN,09:15,09:04,1/B30,X3,Tuifly,X3013,Flight Landed
Berlin/Brandenburg,BER,08:10,08:08,1/A17,Dusseldorf,DUS,09:25,09:12,,EW,Eurowings,EW9049,Flight Landed
Berlin/Brandenburg,BER,08:30,08:29,1/B01,Stuttgart,STR,09:50,09:38,,EW,Eurowings,EW2003,Flight Landed
Berlin/Brandenburg,BER,08:45,08:41,1/A02,Frankfurt,FRA,09:55,09:51,1/A16,LH,Lufthansa,LH177,Flight Landed
Berlin/Brandenburg,BER,09:00,09:04,1/B06,Munich,MUC,10:10,10:10,2/K09,LH,Lufthansa,LH1929,Flight Landed
Berlin/Brandenburg,BER,09:10,09:10,1/A03,Vienna,VIE,10:25,10:18,,OS,Austrian,OS224,Flight Landed
Berlin/Brandenburg,BER,09:30,09:46,1/B07,Zurich,ZRH,11:00,11:04,,LX,SWISS,LX975,Flight Landed
Berlin/Brandenburg,BER,09:45,09:42,1/B21,Frankfurt,FRA,10:55,10:57,1/A15,LH,Lufthansa,LH181,Flight Landed
Berlin/Brandenburg,BER,10:00,09:58,1/A02,Munich,MUC,11:10,11:01,2/G20,LH,Lufthansa,LH1931,Flight Landed
Berlin/Brandenburg,BER,10:40,10:45,1/B14,Palma De Mallorca,PMI,13:20,13:23,,EW,Eurowings,EW8590,Flight Landed
Berlin/Brandenburg,BER,10:45,11:04,1/B06,Frankfurt,FRA,11:55,12:07,1/A38,LH,Lufthansa,LH183,Flight Landed
Berlin/Brandenburg,BER,10:50,10:55,1/B07,Zurich,ZRH,12:20,12:20,,BT,Airbaltic,BT977,Flight Landed
Berlin/Brandenburg,BER,11:00,10:51,1/B21,Munich,MUC,12:10,11:59,2/K07,LH,Lufthansa,LH1935,Flight Landed
Berlin/Brandenburg,BER,11:20,11:17,1/A02,Vienna,VIE,12:35,12:17,,OS,Austrian,OS226,Flight Landed
Berlin/Brandenburg,BER,11:45,11:51,1/B12,Frankfurt,FRA,12:55,12:53,1/Area A,LH,Lufthansa,LH185,Flight Landed
Berlin/Brandenburg,BER,11:50,12:07,1/A33,Lanzarote,ACE,15:45,16:09,,EW,Eurowings,EW8370,Flight Delayed
Berlin/Brandenburg,BER,11:55,11:48,1/A10,Brussels,BRU,13:15,13:07,,SN,Brussels Airlines,SN2582,Flight Landed
Munich,MUC,07:00,06:56,2/K01,Berlin/Brandenburg,BER,08:10,08:03,1/B06,LH,Lufthansa,LH1928,Flight Landed
Vienna,VIE,07:10,07:12,3/F27,Berlin/Brandenburg,BER,08:25,08:23,1/A03,OS,Austrian,OS223,Flight Landed
Zurich,ZRH,07:20,07:33,,Berlin/Brandenburg,BER,08:45,08:58,1/B07,LX,SWISS,LX974,Flight Landed
Frankfurt,FRA,07:45,07:50,1/A13,Berlin/Brandenburg,BER,08:55,08:52,1/B20,LH,Lufthansa,LH174,Flight Landed
Munich,MUC,08:00,07:59,2/G20,Berlin/Brandenburg,BER,09:10,09:05,1/A02,LH,Lufthansa,LH1930,Flight Landed
Cologne/Bonn,CGN,08:10,08:09,1/B30,Berlin/Brandenburg,BER,09:25,09:15,1/A33,EW,Eurowings,EW8059,Flight Landed
Stuttgart,STR,08:15,08:08,1/114,Berlin/Brandenburg,BER,09:35,09:16,1/S01,EW,Eurowings,EW8001,Flight Landed
Dusseldorf,DUS,08:20,08:24,,Berlin/Brandenburg,BER,09:35,09:29,1/A38,EW,Eurowings,EW8041,Flight Landed
Zurich,ZRH,08:40,08:42,,Berlin/Brandenburg,BER,10:05,10:04,1/B07,BT,Airbaltic,BT976,Flight Landed
Munich,MUC,09:00,08:57,2/G16,Berlin/Brandenburg,BER,10:10,10:00,1/B20,LH,Lufthansa,LH1934,Flight Landed
Vienna,VIE,09:20,09:25,3/F32,Berlin/Brandenburg,BER,10:35,10:30,1/A02,OS,Austrian,OS225,Flight Landed
Frankfurt,FRA,09:45,10:04,1/A01,Berlin/Brandenburg,BER,10:55,11:04,1/S01,LH,Lufthansa,LH178,Flight Landed
Brussels,BRU,09:40,09:47,,Berlin/Brandenburg,BER,11:05,11:08,1/A10,SN,Brussels Airlines,SN2581,Flight Landed
Stuttgart,STR,10:25,10:44,1/322,Berlin/Brandenburg,BER,11:45,11:44,1/A37,EW,Eurowings,EW2010,Flight Landed
Frankfurt,FRA,10:45,10:59,1/A11,Berlin/Brandenburg,BER,11:55,12:05,1/B03,LH,Lufthansa,LH180,Flight Landed
Munich,MUC,10:50,10:48,2/G04,Berlin/Brandenburg,BER,12:00,11:47,1/B20,LH,Lufthansa,LH1936,Flight Landed
Paris/ Ch.de Gaulle,CDG,08:30,08:32,2B/D54,Frankfurt,FRA,09:45,09:53,1/Area A,LH,Lufthansa,LH1027,Flight Landed
Paris/ Ch.de Gaulle,CDG,08:40,09:04,2B/D66,Brussels,BRU,09:35,09:52,,SN,Brussels Airlines,SN3632,Flight Landed
Paris/ Ch.de Gaulle,CDG,08:55,08:51,,Hamburg,HAM,10:35,10:19,,EW,Eurowings,EW7403,Flight Landed
