departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Geneva,GVA,10:50,10:41,,Frankfurt,FRA,12:05,11:52,1/BSO,LX,SWISS,LX1082,Flight Landed
Geneva,GVA,11:00,11:06,,Athens,ATH,14:40,14:40,,LX,SWISS,LX1822,Flight Landed
Geneva,GVA,11:00,11:03,,Zurich,ZRH,11:55,11:49,,LX,SWISS,LX2809,Flight Landed
Geneva,GVA,11:40,11:43,,New York J F Kennedy,JFK,14:40,14:06,,LX,SWISS,LX022,Flight Early
Frankfurt,FRA,07:05,07:26,1/A52,Geneva,GVA,08:10,08:16,,CL,Lufthansa Cityline,CL1212,Flight Landed
Dusseldorf,DUS,06:50,06:40,,Geneva,GVA,08:20,07:56,,EW,Eurowings,EW9742,Flight Landed
Zurich,ZRH,07:30,07:39,,Geneva,GVA,08:25,08:29,,LX,SWISS,LX2802,Flight Landed
Munich,MUC,07:25,07:34,2/G72,Geneva,GVA,08:35,08:35,,CL,Lufthansa Cityline,CL2382,Flight Landed
Vienna,VIE,07:15,07:09,3/F06,Geneva,GVA,08:50,08:46,,OS,Austrian,OS571,Flight Landed
New York J F Kennedy,JFK,19:45,20:00,1/008,Geneva,GVA,09:20,09:21,,LX,SWISS,LX023,Flight Landed
London Heathrow,LHR,07:00,07:00,2/A19,Geneva,GVA,09:35,09:33,,LX,SWISS,LX359,Flight Landed
Zurich,ZRH,09:15,09:17,,Geneva,GVA,10:05,09:58,,LX,SWISS,LX2804,Flight Landed
Brussels,BRU,09:25,09:24,,Geneva,GVA,10:40,10:31,,LX,SWISS,LX791,Flight Landed
London City,LCY,08:35,08:28,,Geneva,GVA,11:20,10:53,,LX,SWISS,LX443,Flight Landed
Vienna,VIE,08:03,08:03,,Linz Railway Station,LZS,09:44,09:44,,OS,Austrian,OS3503,Flight On Time
Vienna,VIE,08:03,08:03,,Salzburg Railway Station,ZSB,10:52,10:52,,OS,Austrian,OS3555,Flight On Time
Vienna,VIE,08:05,08:03,3/F14,Milan Malpensa,MXP,09:30,09:28,,OS,Austrian,OS511,Flight Landed
Vienna,VIE,08:15,08:10,3/F05,Warsaw,WAW,09:30,09:16,,OS,Austrian,OS625,Flight Landed
Vienna,VIE,08:25,08:24,3/F06,Hannover,HAJ,09:55,09:41,,OS,Austrian,OS291,Flight Landed
Vienna,VIE,08:40,08:43,3/F16,Bologna,BLQ,09:55,09:54,,OS,Austrian,OS547,Flight Landed
Vienna,VIE,08:45,08:40,3/F12,Zurich,ZRH,10:10,09:58,,OS,Austrian,OS551,Flight Landed
Vienna,VIE,08:55,09:04,,Stuttgart,STR,10:10,10:03,,EW,Eurowings,EW2759,Flight Landed
Vienna,VIE,09:00,08:57,,Cologne/Bonn,CGN,10:40,10:20,1/B40,EW,Eurowings,EW757,Flight Landed
Vienna,VIE,09:03,09:03,,Linz Railway Station,LZS,10:44,10:44,,OS,Austrian,OS3505,Flight On Time
Vienna,VIE,09:03,09:03,,Salzburg Railway Station,ZSB,11:52,11:52,,OS,Austrian,OS3557,Flight On Time
Vienna,VIE,09:05,09:14,,Hamburg,HAM,10:45,10:41,,EW,Eurowings,EW7753,Flight Landed
Vienna,VIE,09:10,09:38,3/F14,Frankfurt,FRA,10:40,10:55,1/A14,LH,Lufthansa,LH1233,Flight Landed
Vienna,VIE,09:15,09:22,3/F02,Venice,VCE,10:20,10:19,,OS,Austrian,OS521,Flight Landed
Vienna,VIE,09:15,09:18,3/F22,Brussels,BRU,11:00,11:04,,SN,Brussels Airlines,SN2902,Flight Landed
Vienna,VIE,09:30,09:30,,Dusseldorf,DUS,11:10,10:53,,EW,Eurowings,EW9755,Flight Landed
Vienna,VIE,09:30,09:39,3/G36,Sofia,SOF,12:00,12:01,,OS,Austrian,OS795,Flight Landed
Vienna,VIE,09:30,09:38,3/F08,Athens,ATH,12:40,12:45,,OS,Austrian,OS801,Flight Landed
Vienna,VIE,09:35,09:54,3/F16,Munich,MUC,10:35,10:45,2/T02S,EN,Air Dolomiti,EN2325,Flight Landed
Vienna,VIE,09:35,09:43,3/F05,Malaga,AGP,12:55,13:09,,OS,Austrian,OS385,Flight Landed
Vienna,VIE,09:35,09:34,3/F04,Zurich,ZRH,11:00,10:52,,OS,Austrian,OS555,Flight Landed
Vienna,VIE,09:40,09:41,3/F24,,PRG,10:30,10:32,,OS,Austrian,OS705,Flight Landed
Vienna,VIE,09:40,09:36,3/F06,Innsbruck,INN,10:35,10:34,,OS,Austrian,OS903,Flight Landed
Vienna,VIE,10:00,10:20,3/G26,Bucharest,OTP,12:35,12:47,,OS,Austrian,OS783,Flight Landed
Vienna,VIE,10:10,10:06,3/F27,Frankfurt,FRA,11:40,11:30,1/A26,OS,Austrian,OS129,Flight Landed
Vienna,VIE,10:15,10:11,3/F10,Lyon,LYS,12:05,11:52,,OS,Austrian,OS405,Flight Landed
Vienna,VIE,10:15,10:18,3/G04,Skopje,SKP,11:50,11:45,,OS,Austrian,OS775,Flight Landed
Vienna,VIE,10:20,10:23,3/D28,Tel Aviv,TLV,14:45,14:36,,OS,Austrian,OS857,Flight Landed
Vienna,VIE,10:25,10:49,3/D22,New York J F Kennedy,JFK,14:10,13:51,1/008,OS,Austrian,OS087,Flight Early
Vienna,VIE,10:45,10:42,3/G03,Chicago,ORD,14:05,13:09,5/M24,OS,Austrian,OS065,Flight Early
Vienna,VIE,11:00,11:07,3/G12,Amman,AMM,16:35,16:32,,OS,Austrian,OS853,Flight Landed
Vienna,VIE,11:03,11:03,,Linz Railway Station,LZS,12:44,12:44,,OS,Austrian,OS3509,Flight On Time
Vienna,VIE,11:03,11:03,,Salzburg Railway Station,ZSB,13:52,13:52,,OS,Austrian,OS3547,Flight On Time
Vienna,VIE,11:10,11:08,3/F08,Frankfurt,FRA,12:40,12:33,1/A11,OS,Austrian,OS1235,Flight Landed
Vienna,VIE,11:33,11:33,,Graz Rail Station,GGZ,14:33,14:33,,OS,Austrian,OS3589,Flight On Time
Venice,VCE,06:45,06:59,,Vienna,VIE,07:55,08:04,,OS,Austrian,OS528,Flight Landed
Stuttgart,STR,06:50,06:48,1/312,Vienna,VIE,08:10,08:00,,EW,Eurowings,EW2758,Flight Landed
Frankfurt,FRA,06:50,07:00,1/A17,Vienna,VIE,08:10,08:23,,LH,Lufthansa,LH1232,Flight Landed
New York Newark,EWR,17:55,18:20,B/B63,Vienna,VIE,08:15,07:55,,OS,Austrian,OS090,Flight Landed
Berlin/Brandenburg,BER,07:00,06:57,1/A03,Vienna,VIE,08:15,08:13,,OS,Austrian,OS240,Flight Landed
Belgrade,BEG,07:00,07:06,,Vienna,VIE,08:15,08:21,,OS,Austrian,OS740,Flight Landed
Cologne/Bonn,CGN,06:50,06:43,1/B40,Vienna,VIE,08:20,07:56,,EW,Eurowings,EW756,Flight Landed
Chicago,ORD,16:20,16:26,5/M39,Vienna,VIE,08:20,07:43,,OS,Austrian,OS066,Flight Landed
,PRG,07:25,07:26,,Vienna,VIE,08:20,08:14,,OS,Austrian,OS712,Flight Landed
Hamburg,HAM,06:50,06:42,1/A39,Vienna,VIE,08:25,08:16,,EW,Eurowings,EW7752,Flight Landed
Krakow,KRK,07:25,07:42,,Vienna,VIE,08:25,08:33,,OS,Austrian,OS600,Flight Landed
Brussels,BRU,06:45,06:45,,Vienna,VIE,08:25,08:32,,SN,Brussels Airlines,SN2901,Flight Landed
Linz Railway Station,LZS,06:31,06:31,,Vienna,VIE,08:27,08:27,,OS,Austrian,OS3534,Flight On Time
Salzburg Railway Station,ZSB,05:12,05:12,,Vienna,VIE,08:27,08:27,,OS,Austrian,OS3542,Flight On Time
Zurich,ZRH,07:10,07:11,,Vienna,VIE,08:30,08:54,,OS,Austrian,OS568,Flight Landed
Athens,ATH,07:15,07:14,,Vienna,VIE,08:30,08:39,,OS,Austrian,OS804,Flight Landed
Milan Malpensa,MXP,07:10,07:20,1/A03,Vienna,VIE,08:35,08:59,,OS,Austrian,OS518,Flight Landed
Washington Dulles,IAD,18:00,18:10,,Vienna,VIE,08:40,08:20,,OS,Austrian,OS094,Flight Landed
Montreal/Dorval,YUL,18:35,18:37,,Vienna,VIE,08:45,08:12,,OS,Austrian,OS074,Flight Landed
Dusseldorf,DUS,07:15,07:14,,Vienna,VIE,08:50,08:50,,EW,Eurowings,EW9754,Flight Landed
Munich,MUC,07:50,08:00,2/K18,Vienna,VIE,08:50,09:09,,EN,Air Dolomiti,EN2324,Flight Landed
Stockholm,ARN,06:35,06:28,,Vienna,VIE,08:50,08:41,,OS,Austrian,OS318,Flight Landed
Copenhagen,CPH,07:10,07:00,2/A15,Vienna,VIE,08:55,08:46,,OS,Austrian,OS308,Flight Landed
Amsterdam,AMS,07:05,07:10,,Vienna,VIE,08:55,09:03,,OS,Austrian,OS378,Flight Landed
Linz Railway Station,LZS,07:16,07:16,,Vienna,VIE,08:57,08:57,,OS,Austrian,OS3500,Flight On Time
Salzburg Railway Station,ZSB,06:02,06:02,,Vienna,VIE,08:57,08:57,,OS,Austrian,OS3556,Flight On Time
Tel Aviv,TLV,06:15,07:21,3/E02,Vienna,VIE,09:00,10:06,,OS,Austrian,OS860,Flight Landed
Paris/ Ch.de Gaulle,CDG,07:10,06:59,2B/D54,Vienna,VIE,09:10,08:57,,OS,Austrian,OS420,Flight Landed
Frankfurt,FRA,07:50,07:48,1/A24,Vienna,VIE,09:15,09:17,,OS,Austrian,OS128,Flight Landed
London Heathrow,LHR,06:00,05:53,2/B41,Vienna,VIE,09:15,09:08,,OS,Austrian,OS458,Flight Landed
Zurich,ZRH,08:25,08:25,,Vienna,VIE,09:45,09:34,,OS,Austrian,OS562,Flight Landed
Munich,MUC,08:50,08:51,2/K01,Vienna,VIE,09:55,09:49,,OS,Austrian,OS112,Flight Landed
Linz Railway Station,LZS,08:16,08:16,,Vienna,VIE,09:57,09:57,,OS,Austrian,OS3502,Flight On Time
Salzburg Railway Station,ZSB,07:08,07:08,,Vienna,VIE,09:57,09:57,,OS,Austrian,OS3558,Flight On Time
Stuttgart,STR,09:00,08:50,2/316,Vienna,VIE,10:15,10:01,,OS,Austrian,OS178,Flight Landed
Graz Rail Station,GGZ,07:26,07:26,,Vienna,VIE,10:27,10:27,,OS,Austrian,OS3580,Flight On Time
Linz Railway Station,LZS,09:16,09:16,,Vienna,VIE,10:57,10:57,,OS,Austrian,OS3504,Flight On Time
Salzburg Railway Station,ZSB,08:08,08:08,,Vienna,VIE,10:57,10:57,,OS,Austrian,OS3546,Flight On Time
Cologne/Bonn,CGN,09:40,09:43,1/C50,Vienna,VIE,11:10,11:00,,OS,Austrian,OS192,Flight Landed
Frankfurt,FRA,09:50,09:50,1/A28,Vienna,VIE,11:15,11:03,,OS,Austrian,OS122,Flight Landed
Hamburg,HAM,09:40,09:33,2/A20,Vienna,VIE,11:15,10:56,,OS,Austrian,OS176,Flight Landed
Dusseldorf,DUS,09:50,09:48,,Vienna,VIE,11:25,11:16,,OS,Austrian,OS152,Flight Landed
Warsaw,WAW,10:10,10:03,,Vienna,VIE,11:30,11:18,,OS,Austrian,OS626,Flight Landed
Copenhagen,CPH,09:50,09:53,,Vienna,VIE,11:35,11:29,,OS,Austrian,OS302,Flight Landed
Brussels,BRU,09:50,10:06,,Vienna,VIE,11:35,11:35,,OS,Austrian,OS352,Flight Landed
Milan Malpensa,MXP,10:15,10:15,1/A08,Vienna,VIE,11:45,11:44,,OS,Austrian,OS512,Flight Landed
